title,year,time,genres,links,rating,thumb,plot,director,stars,new_links,movieId
On the Waterfront,1954,1h 48m,"Crime, Drama, Thriller",tt0047296,8.2,"https://m.media-amazon.com/images/M/MV5BY2I0MWFiZDMtNWQyYy00Njk5LTk3MDktZjZjNTNmZmVkYjkxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.
            ",Elia Kazan,"Marlon Brando, Karl Malden, Lee J. Cobb",47296,1945
Rocky,1976,2h   ,"Drama, Sport",tt0075148,8.1,"https://m.media-amazon.com/images/M/MV5BMTY5MDMzODUyOF5BMl5BanBnXkFtZTcwMTQ3NTMyNA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.
            ",John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young",75148,1954
Metropolis,1927,2h 33m,"Drama, Sci-Fi",tt0017136,8.3,"https://m.media-amazon.com/images/M/MV5BMTg5YWIyMWUtZDY5My00Zjc1LTljOTctYmI0MWRmY2M2NmRkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.
            ",Fritz Lang,"Brigitte Helm, Alfred Abel, Gustav Fröhlich",17136,2010
Shichinin no samurai,1954,3h 27m,"Adventure, Drama",tt0047478,8.7,"https://m.media-amazon.com/images/M/MV5BMTRjZTc3NjItMDJiMC00MTNmLTlkYjEtN2ZiZWU4YmI1OGI4XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY268_CR4,0,182,268_AL__QL50.jpg","
                    A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
            ",Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima",47478,2019
Saving Private Ryan,1998,2h 49m,"Drama, War",tt0120815,8.6,"https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UY268_CR0,0,182,268_AL__QL50.jpg","
                    Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.
            ",Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore",120815,2028
Fanny och Alexander,1982,3h 8m,Drama,tt0083922,8.1,"https://m.media-amazon.com/images/M/MV5BZmQzMDE5ZWQtOTU3ZS00ZjdhLWI0OTctZDNkODk4YThmOTRhL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.
            ",Ingmar Bergman,"Bertil Guve, Pernilla Allwin, Kristina Adolphson",83922,2068
The Thing,1982,1h 49m,"Horror, Mystery, Sci-Fi",tt0084787,8.1,"https://m.media-amazon.com/images/M/MV5BNDcyZmFjY2YtN2I1OC00MzU3LWIzZGEtZDA5N2VlNDJjYWI3L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
            ",John Carpenter,"Kurt Russell, Wilford Brimley, Keith David",84787,2288
The Elephant Man,1980,2h 4m,"Biography, Drama",tt0080678,8.2,"https://m.media-amazon.com/images/M/MV5BMDVjNjIwOGItNDE3Ny00OThjLWE0NzQtZTU3YjMzZTZjMzhkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of intelligence and sensitivity.
            ",David Lynch,"Anthony Hopkins, John Hurt, Anne Bancroft",80678,2313
La vita è bella,1997,1h 56m,"Comedy, Drama, Romance",tt0118799,8.6,"https://m.media-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.
            ",Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini",118799,2324
American History X,1998,1h 59m,Drama,tt0120586,8.5,"https://m.media-amazon.com/images/M/MV5BZjA0MTM4MTQtNzY5MC00NzY3LWI1ZTgtYzcxMjkyMzU4MDZiXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
            ",Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo",120586,2329
Le notti di Cabiria,1957,1h 50m,Drama,tt0050783,8.1,"https://m.media-amazon.com/images/M/MV5BZjllMDcyY2YtZDc5Zi00NDRlLThkZmItMTJhOWZmYjM0NmQyXkEyXkFqcGdeQXVyNTc1NDM0NDU@._V1_UY268_CR2,0,182,268_AL__QL50.jpg","
                    A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.
            ",Federico Fellini,"Giulietta Masina, François Périer, Franca Marzi",50783,2351
"Lock, Stock and Two Smoking Barrels",1998,1h 47m,"Comedy, Crime",tt0120735,8.2,"https://m.media-amazon.com/images/M/MV5BMTAyN2JmZmEtNjAyMy00NzYwLThmY2MtYWQ3OGNhNjExMmM4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.
            ",Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran",120735,2542
The Matrix,1999,2h 16m,"Action, Sci-Fi",tt0133093,8.7,"https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
            ",Lana Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",133093,2571
Barry Lyndon,1975,3h 5m,"Adventure, Drama, History",tt0072684,8.1,"https://m.media-amazon.com/images/M/MV5BNmY0MWY2NDctZDdmMi00MjA1LTk0ZTQtZDMyZTQ1NTNlYzVjXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
            ",Stanley Kubrick,"Ryan O'Neal, Marisa Berenson, Patrick Magee",72684,2730
Les quatre cents coups,1959,1h 39m,"Crime, Drama",tt0053198,8.1,"https://m.media-amazon.com/images/M/MV5BYTQ4MjA4NmYtYjRhNi00MTEwLTg0NjgtNjk3ODJlZGU4NjRkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY268_CR10,0,182,268_AL__QL50.jpg","
                    A young boy, left without attention, delves into a life of petty crime.
            ",François Truffaut,"Jean-Pierre Léaud, Albert Rémy, Claire Maurier",53198,2731
The Sixth Sense,1999,1h 47m,"Drama, Mystery, Thriller",tt0167404,8.1,"https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A boy who communicates with spirits seeks the help of a disheartened child psychologist.
            ",M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette",167404,2762
American Beauty,1999,2h 2m,Drama,tt0169547,8.4,"https://m.media-amazon.com/images/M/MV5BNTBmZWJkNjctNDhiNC00MGE2LWEwOTctZTk5OGVhMWMyNmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
            ",Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch",169547,2858
Fight Club,1999,2h 19m,Drama,tt0137523,8.8,"https://m.media-amazon.com/images/M/MV5BMjJmYTNkNmItYjYyZC00MGUxLWJhNWMtZDY4Nzc1MDAwMzU5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.
            ",David Fincher,"Brad Pitt, Edward Norton, Meat Loaf",137523,2959
Mononoke-hime,1997,2h 14m,"Animation, Adventure, Fantasy",tt0119698,8.4,"https://m.media-amazon.com/images/M/MV5BMTVlNWM4NTAtNDQxYi00YWU5LWIwM2MtZmVjYWFmODZiODE5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY268_CR4,0,182,268_AL__QL50.jpg","
                    On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.
            ",Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka",119698,3000
The General,1926,1h 7m,"Action, Adventure, Comedy",tt0017925,8.2,"https://m.media-amazon.com/images/M/MV5BYmRiMDFlYjYtOTMwYy00OGY2LWE0Y2QtYzQxOGNhZmUwNTIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.
            ",Clyde Bruckman,"Buster Keaton, Marion Mack, Glen Cavender",17925,3022
Yôjinbô,1961,1h 50m,"Action, Drama, Thriller",tt0055630,8.3,"https://m.media-amazon.com/images/M/MV5BZThiZjAzZjgtNDU3MC00YThhLThjYWUtZGRkYjc2ZWZlOTVjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
            ",Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai",55630,3030
Ladri di biciclette,1948,1h 29m,Drama,tt0040522,8.3,"https://m.media-amazon.com/images/M/MV5BNmI1ODdjODctMDlmMC00ZWViLWI5MzYtYzRhNDdjYmM3MzFjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY268_CR2,0,182,268_AL__QL50.jpg","
                    In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.
            ",Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell",40522,3089
The Grapes of Wrath,1940,2h 9m,"Drama, History",tt0032551,8.1,"https://m.media-amazon.com/images/M/MV5BNzJiOGI2MjctYjUyMS00ZjkzLWE2ZmUtOTg4NTZkOTNhZDc1L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.
            ",John Ford,"Henry Fonda, Jane Darwell, John Carradine",32551,3095
The Green Mile,1999,3h 9m,"Crime, Drama, Fantasy",tt0120689,8.5,"https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.
            ",Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse",120689,3147
City Lights,1931,1h 27m,"Comedy, Drama, Romance",tt0021749,8.5,"https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.
            ",Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee",21749,3307
The Kid,1921,1h 8m,"Comedy, Drama, Family",tt0012349,8.3,"https://m.media-amazon.com/images/M/MV5BZjhhMThhNDItNTY2MC00MmU1LTliNDEtNDdhZjdlNTY5ZDQ1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    The Tramp cares for an abandoned child, but events put that relationship in jeopardy.
            ",Charles Chaplin,"Charles Chaplin, Edna Purviance, Jackie Coogan",12349,3310
Double Indemnity,1944,1h 47m,"Crime, Drama, Film-Noir",tt0036775,8.3,"https://m.media-amazon.com/images/M/MV5BOGZiZjFiMWItN2NkZC00MjEwLTk4YzEtNTMwOTlmOGM3ZGJkXkEyXkFqcGdeQXVyMzAxNjg3MjQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.
            ",Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson",36775,3435
Modern Times,1936,1h 27m,"Comedy, Drama, Family",tt0027977,8.5,"https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
            ",Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman",27977,3462
Network,1976,2h 1m,Drama,tt0074958,8.1,"https://m.media-amazon.com/images/M/MV5BNmFiOWY3ZTktOTYwNy00ZTUzLTk0ODQtNzIxMzQ0ZDFjMTgyXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
            ",Sidney Lumet,"Faye Dunaway, William Holden, Peter Finch",74958,3504
Gladiator,2000,2h 35m,"Action, Adventure, Drama",tt0172495,8.5,"https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
            ",Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen",172495,3578
The Gold Rush,1925,1h 35m,"Adventure, Comedy, Drama",tt0015864,8.2,"https://m.media-amazon.com/images/M/MV5BZjEyOTE4MzMtNmMzMy00Mzc3LWJlOTQtOGJiNDE0ZmJiOTU4L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR7,0,182,268_AL__QL50.jpg","
                    A prospector goes to the Klondike in search of gold and finds it and more.
            ",Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray",15864,3629
Per qualche dollaro in più,1965,2h 12m,Western,tt0059578,8.3,"https://m.media-amazon.com/images/M/MV5BNWM1NmYyM2ItMTFhNy00NDU0LThlYWUtYjQyYTJmOTY0ZmM0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Two bounty hunters with the same intentions team up to track down a Western outlaw.
            ",Sergio Leone,"Clint Eastwood, Lee Van Cleef, Gian Maria Volontè",59578,3681
Requiem for a Dream,2000,1h 42m,Drama,tt0180093,8.3,"https://m.media-amazon.com/images/M/MV5BOTdiNzJlOWUtNWMwNS00NmFlLWI0YTEtZmI3YjIzZWUyY2Y3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
            ",Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly",180093,3949
Snatch,2000,1h 44m,"Comedy, Crime",tt0208092,8.3,"https://m.media-amazon.com/images/M/MV5BMTA2NDYxOGYtYjU1Mi00Y2QzLTgxMTQtMWI1MGI0ZGQ5MmU4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY268_CR0,0,182,268_AL__QL50.jpg","
                    Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.
            ",Guy Ritchie,"Jason Statham, Brad Pitt, Benicio Del Toro",208092,4011
Faa yeung nin wa,2000,1h 38m,"Drama, Romance",tt0118694,8.1,"https://m.media-amazon.com/images/M/MV5BYjVhMTE3YzEtOGEwYS00NjFmLWFjYzAtMGVjNjY3YWY4OTJhL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.
            ",Kar-Wai Wong,"Tony Chiu-Wai Leung, Maggie Cheung, Ping Lam Siu",118694,4144
Memento,2000,1h 53m,"Mystery, Thriller",tt0209144,8.5,"https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY268_CR0,0,182,268_AL__QL50.jpg","
                    A man with short-term memory loss attempts to track down his wife's murderer.
            ",Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano",209144,4226
Amores perros,2000,2h 34m,"Drama, Thriller",tt0245712,8.1,"https://m.media-amazon.com/images/M/MV5BMWJhOTg5MWQtYTJjMi00YmFkLTg4ODgtYmU2YWVhODQ4ZDM3XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.
            ",Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal, Goya Toledo",245712,4235
Scarface,1983,2h 50m,"Crime, Drama",tt0086250,8.3,"https://m.media-amazon.com/images/M/MV5BNjdjNGQ4NDEtNTEwYS00MTgxLTliYzQtYzE2ZDRiZjFhZmNlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    In Miami in 1980, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.
            ",Brian De Palma,"Al Pacino, Michelle Pfeiffer, Steven Bauer",86250,4262
Donnie Darko,2001,1h 53m,"Drama, Sci-Fi, Thriller",tt0246578,8.1,"https://m.media-amazon.com/images/M/MV5BZjZlZDlkYTktMmU1My00ZDBiLWFlNjEtYTBhNjVhOTM4ZjJjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes, after he narrowly escapes a bizarre accident.
            ",Richard Kelly,"Jake Gyllenhaal, Jena Malone, Mary McDonnell",246578,4878
"Monsters, Inc.",2001,1h 32m,"Animation, Adventure, Comedy",tt0198781,8.1,"https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.
            ",Pete Docter,"Billy Crystal, John Goodman, Mary Gibbs",198781,4886
Amélie,2001,2h 2m,"Comedy, Romance",tt0211915,8.3,"https://m.media-amazon.com/images/M/MV5BNDg4NjM1YjMtYmNhZC00MjM0LWFiZmYtNGY1YjA3MzZmODc5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.
            ",Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus",211915,4973
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,"Adventure, Drama, Fantasy",tt0120737,8.8,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
            ",Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom",120737,4993
A Beautiful Mind,2001,2h 15m,"Biography, Drama",tt0268978,8.2,"https://m.media-amazon.com/images/M/MV5BMzcwYWFkYzktZjAzNC00OGY1LWI4YTgtNzc5MzVjMDVmNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.
            ",Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly",268978,4995
Witness for the Prosecution,1957,1h 56m,"Crime, Drama, Mystery",tt0051201,8.4,"https://m.media-amazon.com/images/M/MV5BZjEwMmE5MzYtYWExYy00ZjEzLTk4MjUtMmJmNzgxY2MxN2U1XkEyXkFqcGdeQXVyMTg2NTc4MzA@._V1_UY268_CR12,0,182,268_AL__QL50.jpg","
                    A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
            ",Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton",51201,5008
Smultronstället,1957,1h 31m,"Drama, Romance",tt0050986,8.2,"https://m.media-amazon.com/images/M/MV5BM2NiYjhmMzctMzliMC00NDBlLWJkYzItZjIwYjYzNDg3OGQzXkEyXkFqcGdeQXVyMzAxNjg3MjQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.
            ",Ingmar Bergman,"Victor Sjöström, Bibi Andersson, Ingrid Thulin",50986,5147
Rashômon,1950,1h 28m,"Crime, Drama, Mystery",tt0042876,8.3,"https://m.media-amazon.com/images/M/MV5BMTk1MDU5MjQ5NF5BMl5BanBnXkFtZTgwMDM2OTE4MzE@._V1_UY268_CR3,0,182,268_AL__QL50.jpg","
                    The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.
            ",Akira Kurosawa,"Toshirô Mifune, Machiko Kyô, Masayuki Mori",42876,5291
Sen to Chihiro no kamikakushi,2001,2h 5m,"Animation, Adventure, Family",tt0245429,8.6,"https://m.media-amazon.com/images/M/MV5BOGJjNzZmMmUtMjljNC00ZjU5LWJiODQtZmEzZTU0MjBlNzgxL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.
            ",Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino",245429,5618
Hotaru no haka,1988,1h 29m,"Animation, Drama, War",tt0095327,8.5,"https://m.media-amazon.com/images/M/MV5BZjEwNDVhZjMtYzA1MS00ZWUxLThjOGUtZTliNGZiNGYyMjA3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY268_CR4,0,182,268_AL__QL50.jpg","
                    A young boy and his little sister struggle to survive in Japan during World War II.
            ",Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi",95327,5690
The Lord of the Rings: The Two Towers,2002,2h 59m,"Adventure, Drama, Fantasy",tt0167261,8.7,"https://m.media-amazon.com/images/M/MV5BNGE5MzIyNTAtNWFlMC00NDA2LWJiMjItMjc4Yjg1OWM5NzhhXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY268_CR0,0,182,268_AL__QL50.jpg","
                    While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.
            ",Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen",167261,5952
Tonari no Totoro,1988,1h 26m,"Animation, Family, Fantasy",tt0096283,8.2,"https://m.media-amazon.com/images/M/MV5BYmY0NWJiMmUtMzUyZi00YTAzLWE3OWEtYjc4MmM0ZWUyOWFmXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR4,0,182,268_AL__QL50.jpg","
                    When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.
            ",Hayao Miyazaki,"Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto",96283,5971
Catch Me If You Can,2002,2h 21m,"Biography, Crime, Drama",tt0264464,8.1,"https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor.
            ",Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken",264464,5989
The Pianist,2002,2h 30m,"Biography, Drama, Music",tt0253474,8.5,"https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY268_CR6,0,182,268_AL__QL50.jpg","
                    A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
            ",Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay",253474,5995
Cidade de Deus,2002,2h 10m,"Crime, Drama",tt0317248,8.6,"https://m.media-amazon.com/images/M/MV5BMGU5OWEwZDItNmNkMC00NzZmLTk1YTctNzVhZTJjM2NlZTVmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.
            ",Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele",317248,6016
Tenkû no shiro Rapyuta,1986,2h 5m,"Animation, Adventure, Drama",tt0092067,8.1,"https://m.media-amazon.com/images/M/MV5BNTg0NmI1ZGQtZTUxNC00NTgxLThjMDUtZmRlYmEzM2MwOWYwXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_UY268_CR2,0,182,268_AL__QL50.jpg","
                    A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
            ",Hayao Miyazaki,"Anna Paquin, James Van Der Beek, Cloris Leachman",92067,6350
